"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"59","인천광역시 부평구 산곡동","145","0145","0000","경남3차","전세","84.8700","202212","30","21,000","0","11","1992","마장로272번길 76","202302~202502","신규","-","","","아파트"
"60","인천광역시 부평구 산곡동","180-116","0180","0116","삼보","전세","60.5400","202212","30","12,000","0","2","1986","원적로 288","202301~202501","신규","-","","","아파트"
"61","인천광역시 부평구 부평동","509-3","0509","0003","원일팰리스","월세","69.7300","202212","29","3,150","72","10","2017","장제로76번길 8","202301~202501","갱신","사용","3,000","70","아파트"
"62","인천광역시 부평구 부평동","185-77","0185","0077","이림","전세","13.1000","202212","29","5,800","0","8","2020","광장로30번길 24","-","-","-","","","아파트"
"63","인천광역시 부평구 부평동","956","0956","0000","부평역한라비발디트레비앙","전세","39.8860","202212","29","19,000","0","20","2022","동수북로 188","202301~202501","신규","-","","","아파트"
"64","인천광역시 부평구 부평동","956","0956","0000","부평역한라비발디트레비앙","전세","39.8860","202212","29","19,000","0","20","2022"," ","202301~202501","신규","-","","","아파트"
"65","인천광역시 부평구 부평동","962","0962","0000","부평SKVIEW해모로","월세","59.9750","202212","29","3,000","110","7","2022","동수천로 71","202301~202401","신규","-","","","아파트"
"66","인천광역시 부평구 부평동","962","0962","0000","부평SKVIEW해모로","전세","59.9750","202212","29","21,500","0","9","2022","동수천로 71","202301~202501","신규","-","","","아파트"
"67","인천광역시 부평구 산곡동","120-8","0120","0008","대운","전세","50.8500","202212","29","16,000","0","3","1985","마장로324번길 27-8","202301~202501","신규","-","","","아파트"
"68","인천광역시 부평구 산곡동","120-8","0120","0008","대운","전세","50.8500","202212","29","16,000","0","3","1985","마장로324번길 27-8","202301~202501","신규","-","","","아파트"
"69","인천광역시 부평구 산곡동","294-35","0294","0035","우성1차2차(294-35)","월세","54.5200","202212","29","2,000","70","14","1989","부영로 165","202301~202601","신규","-","","","아파트"
"70","인천광역시 부평구 부평동","962","0962","0000","부평SKVIEW해모로","월세","84.9825","202212","29","5,000","140","19","2022","동수천로 71","202301~202501","신규","-","","","아파트"
"71","인천광역시 부평구 삼산동","359-2","0359","0002","광명13차","월세","57.4200","202212","29","500","43","6","1990","후정동로 68","202212~202412","갱신","-","500","38","아파트"
"72","인천광역시 부평구 산곡동","180-78","0180","0078","부평신일해피트리더루츠","월세","84.9860","202212","29","5,000","120","1","2022"," ","202302~202502","신규","-","","","아파트"
"73","인천광역시 부평구 십정동","216","0216","0000","백영","월세","60.0000","202212","29","10,000","50","12","1997","경원대로 1086","202301~202501","신규","-","","","아파트"
"74","인천광역시 부평구 산곡동","274-5","0274","0005","경남4차","월세","59.7150","202212","29","3,000","60","17","1994","안남로206번길 18","202302~202502","신규","-","","","아파트"
"75","인천광역시 부평구 부평동","401-33","0401","0033","현대캐슬","월세","67.4000","202212","29","2,000","70","9","2012","부흥북로48번길 23","202302~202502","신규","-","","","아파트"
"76","인천광역시 부평구 삼산동","512","0512","0000","삼산3휴먼시아1단지","월세","46.9000","202212","29","3,156","25","7","2010","영성동로18번길 19","-","-","-","","","아파트"
"77","인천광역시 부평구 삼산동","550","0550","0000","부평삼산신원아침도시","전세","59.9889","202212","29","18,000","0","10","2022","후정로 33","202302~202502","신규","-","","","아파트"
"78","인천광역시 부평구 삼산동","454-13","0454","0013","삼산타운6단지","전세","84.0700","202212","29","36,000","0","19","2004","체육관로 57","202212~202412","갱신","사용","45,000","0","아파트"
"79","인천광역시 부평구 삼산동","359","0359","0000","광명12차","월세","76.7400","202212","29","1,500","60","6","1990","후정동로 63","202301~202501","신규","-","","","아파트"
"80","인천광역시 부평구 산곡동","510","0510","0000","부평산곡푸르지오","전세","59.9950","202212","29","27,000","0","19","2011","안남로 269","202301~202501","신규","-","","","아파트"
"81","인천광역시 부평구 부평동","431-22","0431","0022","씨티원","전세","44.5900","202212","29","16,000","0","13","2016","부평대로 124","202212~202412","갱신","-","16,000","0","아파트"
"82","인천광역시 부평구 부개동","520","0520","0000","부평코오롱하늘채","전세","34.2970","202212","29","19,000","0","14","2020","동수천로 117","202302~202502","신규","-","","","아파트"
"83","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","월세","59.9800","202212","29","3,000","75","2","1996","길주남로 144","202302~202502","신규","-","","","아파트"
"84","인천광역시 부평구 부개동","501-1","0501","0001","부개주공6","전세","84.7900","202212","29","24,500","0","12","1997","부개로 12","202303~202503","신규","-","","","아파트"
"85","인천광역시 부평구 부개동","500-1","0500","0001","주공5","월세","59.9900","202212","28","2,000","80","7","1998","부개로 11","202302~202502","신규","-","","","아파트"
"86","인천광역시 부평구 부개동","512","0512","0000","부개역푸르지오","월세","59.9730","202212","28","14,000","60","17","2010","부일로 69","202302~202502","신규","-","","","아파트"
"87","인천광역시 부평구 부개동","512","0512","0000","부개역푸르지오","전세","84.9840","202212","28","38,000","0","18","2010","부일로 69","202302~202502","갱신","사용","45,000","0","아파트"
"88","인천광역시 부평구 부개동","512","0512","0000","부개역푸르지오","월세","59.9730","202212","28","14,000","60","17","2010","부일로 69","202302~202502","신규","-","","","아파트"
"89","인천광역시 부평구 부개동","520","0520","0000","부평코오롱하늘채","전세","34.2970","202212","28","18,000","0","11","2020","동수천로 117","202302~202502","신규","-","","","아파트"
"90","인천광역시 부평구 부개동","502-8","0502","0008","부개주공7단지","전세","59.8000","202212","28","22,000","0","13","1998","동수천로 118","202302~202502","신규","-","","","아파트"
"91","인천광역시 부평구 부개동","477","0477","0000","욱일","전세","51.0100","202212","28","15,000","0","3","1998","장제로 234","202301~202501","신규","-","","","아파트"
"92","인천광역시 부평구 부평동","222-25","0222","0025","V-TOWER","월세","18.0600","202212","28","300","33","7","2012","시장로71번길 3","202212~202312","신규","-","","","아파트"
"93","인천광역시 부평구 갈산동","454","0454","0000","대성유니드","월세","84.8640","202212","28","15,000","30","10","2007","새갈로 57","202301~202501","신규","-","","","아파트"
"94","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","월세","59.8050","202212","28","3,000","75","10","1998","안남로 272","202303~202503","신규","-","","","아파트"
"95","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","전세","59.8050","202212","28","20,000","0","8","1998","안남로 272","202212~202412","신규","-","","","아파트"
"96","인천광역시 부평구 산곡동","124-1","0124","0001","현대(124-1)","전세","84.9900","202212","28","30,000","0","1","1993","안남로 260","202212~202502","갱신","-","28,000","0","아파트"
"97","인천광역시 부평구 산곡동","370-399","0370","0399","현대3차","전세","84.9400","202212","28","24,500","0","7","1989","마장로 121","202301~202501","갱신","-","23,100","0","아파트"
"98","인천광역시 부평구 산곡동","307","0307","0000","현대1차","월세","84.6000","202212","28","3,000","90","8","1985","경원대로 1269","202301~202501","신규","-","","","아파트"
"99","인천광역시 부평구 산곡동","124-23","0124","0023","한화1단지","전세","84.3700","202212","28","43,500","0","14","1997","원적로 361","202301~202501","신규","-","","","아파트"
"100","인천광역시 부평구 산곡동","155-1","0155","0001","한양(155-1)","전세","84.6650","202212","28","20,000","0","17","1992","안남로 231","202302~202402","갱신","사용","22,000","0","아파트"
"101","인천광역시 부평구 산곡동","155-1","0155","0001","한양(155-1)","전세","84.6650","202212","28","20,000","0","17","1992","안남로 231","202302~202402","갱신","사용","22,000","0","아파트"
"102","인천광역시 부평구 산곡동","155-1","0155","0001","한양(155-1)","전세","84.6650","202212","28","21,000","0","11","1992","안남로 231","202301~202501","신규","-","","","아파트"
"103","인천광역시 부평구 산곡동","145","0145","0000","경남3차","월세","59.7150","202212","28","2,000","70","5","1992","마장로272번길 76","202302~202502","신규","-","","","아파트"
"104","인천광역시 부평구 산곡동","145","0145","0000","경남3차","월세","59.7150","202212","28","2,000","70","5","1992","마장로272번길 76","-","-","-","","","아파트"
"105","인천광역시 부평구 산곡동","180-78","0180","0078","부평신일해피트리더루츠","전세","49.1260","202212","28","23,500","0","18","2022","산곡로 31","-","신규","-","","","아파트"
"106","인천광역시 부평구 산곡동","507","0507","0000","금호이수마운트밸리","전세","59.8167","202212","28","23,000","0","17","2007","원적로 344","202302~202502","신규","-","","","아파트"
"107","인천광역시 부평구 삼산동","453-1","0453","0001","삼산타운7단지","전세","84.9600","202212","28","12,200","0","16","2004","체육관로 27","-","신규","-","","","아파트"
"108","인천광역시 부평구 삼산동","453-1","0453","0001","삼산타운7단지","전세","84.9600","202212","28","45,000","0","8","2004","체육관로 27","202212~202412","신규","-","","","아파트"
"109","인천광역시 부평구 삼산동","550","0550","0000","부평삼산신원아침도시","전세","74.1900","202212","28","22,500","0","20","2022","후정로 33","202301~202501","신규","-","","","아파트"
"110","인천광역시 부평구 삼산동","170-1","0170","0001","삼산벽산블루밍","월세","84.6800","202212","28","10,000","60","6","2005","후정동로 12","202301~202501","신규","-","","","아파트"
"111","인천광역시 부평구 삼산동","170-1","0170","0001","삼산벽산블루밍","전세","59.2488","202212","28","22,000","0","8","2005","후정동로 12","202301~202501","신규","-","","","아파트"
"112","인천광역시 부평구 부평동","962","0962","0000","부평SKVIEW해모로","전세","74.9625","202212","28","27,000","0","20","2022","동수천로 71","202301~202501","신규","-","","","아파트"
"113","인천광역시 부평구 부평동","962","0962","0000","부평SKVIEW해모로","전세","59.9750","202212","28","22,000","0","5","2022","동수천로 71","202302~202502","신규","-","","","아파트"
"114","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","전세","59.8200","202212","28","22,000","0","6","1996","부흥로 246","202212~202412","신규","-","","","아파트"
"115","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","59.5385","202212","27","13,000","35","11","2022","열우물로 90","202302~202502","신규","-","","","아파트"
