기준일ID,시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20240825,0,11170650,20270.6509,110.8349,59.3505,318.5201,1725.267,2422.0891,2128.7213,1677.8416,913.4283,648.0305,409.6102,321.7523,239.1583,148.7035,307.1302,117.0882,52.0393,226.6567,1604.0831,2246.1529,1299.1795,888.2727,467.0503,417.8357,289.0906,275.7134,269.2407,171.2929,516.5165
20240825,0,11170660,11625.2464,291.4789,132.1821,167.09,268.7841,392.5115,551.508,710.8697,745.7801,579.9619,391.373,329.4483,242.2708,184.8796,403.6693,342.306,168.6362,187.5901,358.9241,615.4716,649.2192,771.1129,700.902,552.5574,388.2914,383.8029,271.4955,230.5577,612.5721
20240825,0,11170685,22011.2123,612.0522,262.7252,293.3469,924.9604,1297.2121,1220.7772,1417.041,1297.6901,1037.4676,798.5269,710.3749,478.2474,290.4819,581.7815,486.6403,217.6852,317.453,702.6416,983.4909,1088.1836,1469.738,1343.4041,844.2681,740.2742,602.1318,505.9202,449.9094,1036.7859
20240825,0,11170690,13184.4196,536.5517,386.9157,377.7217,400.1385,356.2637,381.4144,471.9181,544.4795,671.7209,668.0843,530.7481,389.9144,289.7494,514.6636,407.297,260.217,414.6644,417.9458,388.1225,402.5512,532.1786,563.7905,692.4246,590.8232,443.4136,411.9775,269.5927,869.1376
20240825,0,11170700,7411.117,142.4283,96.7361,173.2508,216.1983,318.0313,325.4939,368.4303,354.7406,330.0338,340.044,331.5034,218.0973,179.3492,280.6347,93.2209,59.4899,164.2263,177.2046,278.084,243.6528,335.6358,418.6058,340.85,310.452,316.5611,254.8078,231.2153,512.139
20240825,0,11200520,16277.0457,438.2417,213.3716,321.2478,477.8503,601.2278,602.5425,941.2755,621.6336,574.4295,562.9738,524.6707,445.1794,323.811,605.7712,444.5795,218.3778,437.9342,640.5484,747.2659,810.1059,921.7372,712.9754,623.3266,671.0372,683.0623,534.883,401.0542,1175.9325
20240825,0,11200535,30917.1552,1457.7448,421.8891,398.4778,872.8691,1197.3528,1300.2806,1558.0372,1407.8234,1264.6597,892.0817,991.5036,778.3522,555.3699,1026.4588,1412.5575,409.8373,584.166,1454.7676,1696.5586,1469.9886,1700.8265,1306.8215,1200.0707,1091.9084,1199.0567,851.8911,683.6735,1732.1313
20240825,0,11200540,19050.8377,512.1529,278.7591,498.7489,665.3403,872.5185,655.3422,794.1196,697.2321,744.3723,731.8799,690.8925,560.2443,395.7646,915.4265,454.2953,252.5926,517.3438,817.5956,873.0549,779.2492,880.6364,678.6154,710.199,793.8046,784.0325,630.6127,502.1678,1363.8443
20240825,0,11200550,17032.5963,289.0015,131.7505,474.2347,2068.0217,1634.4144,820.0077,564.9402,495.916,531.1304,475.8253,333.6101,307.0526,189.7245,486.639,308.9468,147.7574,588.0381,1999.2463,1194.8137,538.3461,499.0134,389.8459,404.0819,416.0923,407.2373,317.221,266.5373,753.1506
20240825,0,11200560,22749.9314,696.3814,400.2559,668.8548,873.8412,1108.3862,924.8564,1183.5869,983.5256,1077.8019,846.724,760.1654,565.749,342.0155,592.3354,673.0252,387.0677,733.0165,1200.1393,1135.3148,934.2376,1231.8192,1011.8292,884.9749,886.4661,757.9891,587.2625,451.4741,850.835
