"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"64","인천광역시 부평구 산곡동","261-8","0261","0008","경남5차","전세","84.9700","202312","28","17,500","0","19","1992","마장로264번길 66","202401~202601","신규","-","","","아파트"
"65","인천광역시 부평구 산곡동","261-8","0261","0008","경남5차","전세","84.9700","202312","28","17,500","0","19","1992","마장로264번길 66","202401~202601","신규","-","","","아파트"
"66","인천광역시 부평구 산곡동","274-5","0274","0005","경남4차","전세","59.7150","202312","28","14,500","0","19","1994","안남로206번길 18","202401~202601","신규","-","","","아파트"
"67","인천광역시 부평구 산곡동","519","0519","0000","쌍용더플래티넘부평","전세","39.5000","202312","28","19,000","0","8","2022","원적로287번길 25","202402~202602","신규","-","","","아파트"
"68","인천광역시 부평구 삼산동","494","0494","0000","부평삼산엠코타운","전세","122.0590","202312","28","42,000","0","9","2007","후정로 7","202401~202601","신규","-","","","아파트"
"69","인천광역시 부평구 산곡동","507","0507","0000","금호이수마운트밸리","전세","84.9588","202312","28","30,000","0","1","2007","원적로 344","202401~202601","신규","-","","","아파트"
"70","인천광역시 부평구 삼산동","512","0512","0000","삼산3휴먼시아1단지","월세","46.9000","202312","28","3,156","25","11","2010","영성동로18번길 19","-","-","-","","","아파트"
"71","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","전세","59.9700","202312","28","20,000","0","10","1996","길주남로 144","202402~202602","신규","-","","","아파트"
"72","인천광역시 부평구 산곡동","510","0510","0000","부평산곡푸르지오","전세","84.9290","202312","28","35,000","0","4","2011","안남로 269","202402~202602","신규","-","","","아파트"
"73","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","59.5385","202312","28","7,000","63","21","2022","열우물로 90","202401~202601","신규","-","","","아파트"
"74","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","전세","39.9900","202312","28","14,500","0","9","1996","길주남로 144","202402~202502","갱신","사용","17,000","0","아파트"
"75","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","59.8032","202312","28","14,500","39","32","2022","열우물로 90","202402~202602","신규","-","","","아파트"
"76","인천광역시 부평구 부개동","477-2","0477","0002","대진","전세","39.6000","202312","28","11,500","0","3","1988","길주로 654","202312~202512","-","-","","","아파트"
"77","인천광역시 부평구 부개동","477-3","0477","0003","뉴서울","전세","39.4800","202312","28","12,000","0","11","1989","충선로 191","202401~202601","신규","-","","","아파트"
"78","인천광역시 부평구 부개동","497-1","0497","0001","상우신명보람","전세","111.4100","202312","28","43,000","0","20","1999","길주남로 175","-","-","-","","","아파트"
"79","인천광역시 부평구 부평동","65-7","0065","0007","욱일","전세","84.1600","202312","28","20,000","0","10","1991","부흥로243번길 39","202401~202601","신규","-","","","아파트"
"80","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","전세","50.1550","202312","28","15,000","0","10","1989","부영로 196","202401~202601","신규","-","","","아파트"
"81","인천광역시 부평구 부평동","124-13","0124","0013","신승캐슬","월세","43.8400","202312","28","250","55","14","2015","장제로 166","202312~202512","신규","-","","","아파트"
"82","인천광역시 부평구 부평동","946","0946","0000","래미안부평(임대)","월세","39.0530","202312","28","9,148","17","9","2014","길주남로10번길 11","202401~202411","갱신","-","3,848","44","아파트"
"83","인천광역시 부평구 부평동","431-30","0431","0030","벨라로사","월세","14.1400","202312","28","200","40","6","2011","부흥북로5번길 17","-","-","-","","","아파트"
"84","인천광역시 부평구 삼산동","445-5","0445","0005","삼산타운2단지","전세","84.9800","202312","28","37,000","0","19","2005","수변로 333","202403~202603","신규","-","","","아파트"
"85","인천광역시 부평구 부개동","497-1","0497","0001","상우신명보람","전세","111.4100","202312","28","43,000","0","20","1999","길주남로 175","-","-","-","","","아파트"
"86","인천광역시 부평구 십정동","608-4","0608","0004","십정뜨란채1단지","전세","59.9300","202312","28","20,000","0","5","2005","이규보로 79","202402~202602","신규","-","","","아파트"
